ticker,name,index
ADVANC,ADVANC,SET50
AOT,AOT,SET50
AWC,AWC,SET50
BANPU,BANPU,SET50
BBL,BBL,SET50
BCP,BCP,SET50
BDMS,BDMS,SET50
BEM,BEM,SET50
BGRIM,BGRIM,SET50
BH,BH,SET50
BJC,BJC,SET50
BLA,BLA,SET50
CBG,CBG,SET50
CENTEL,CENTEL,SET50
COM7,COM7,SET50
CPALL,CPALL,SET50
CPF,CPF,SET50
CPN,CPN,SET50
CRC,CRC,SET50
DELTA,DELTA,SET50
EA,EA,SET50
EGCO,EGCO,SET50
GLOBAL,GLOBAL,SET50
GPSC,GPSC,SET50
GULF,GULF,SET50
HMPRO,HMPRO,SET50
INTUCH,INTUCH,SET50
ITC,ITC,SET50
IVL,IVL,SET50
KBANK,KBANK,SET50
KTB,KTB,SET50
KTC,KTC,SET50
MINT,MINT,SET50
MTC,MTC,SET50
OR,OR,SET50
OSP,OSP,SET50
PTT,PTT,SET50
PTTEP,PTTEP,SET50
PTTGC,PTTGC,SET50
RATCH,RATCH,SET50
SAWAD,SAWAD,SET50
SCB,SCB,SET50
SCC,SCC,SET50
SCGP,SCGP,SET50
TIDLOR,TIDLOR,SET50
TISCO,TISCO,SET50
TOP,TOP,SET50
TRUE,TRUE,SET50
TTB,TTB,SET50
WHA,WHA,SET50
